time,sb,snb,tv,tv1,trans,trans1,trans2,w1,w2,w3,w4,w5,w6,w7,sb1,sb2,sb3,sb4,sb5,sb6,sb7,snb1,snb2,snb3,snb4,snb5,snb6,snb7,tv1,tv2,tv3,tv4,tv5,tv6,tv7,sbm3,sbm4,sbm5,sbm6,sbm8,sbm10,snbm3,snbm4,snbm5,snbm6,snbm8,snbm10,tvm3,tvm4,tvm5,tvm6,tvm8,tvm10
5/28/2016,1057.5,22013.68,0,0,817.5,927.5,977.5,0,0,0,0,0,1,0,1267.5,3045,557.5,705,957.5,1157.5,1337.5,23634.1,24576.3,13713.65,13169.4,19324.98,19633.33,20369.23,0,0,0,0,0,0,0,1790,1481.88,1326.5,1265,1260.63,19557.17,23408.03,20984.43,19421.43,19405.35,19554.33,19557.17,0,0,0,0,0,0
5/29/2016,1167.5,24149.8,0,0,785,817.5,927.5,0,0,0,0,0,0,1,1057.5,1267.5,3045,557.5,705,957.5,1157.5,22013.68,23634.1,24576.3,13713.65,13169.4,19324.98,19633.33,0,0,0,0,0,0,0,1164.17,1634.38,1419,1300,1239.38,20041.57,23265.86,23593.47,21617.51,20209.49,20026.91,20041.57,0,0,0,0,0,0
5/30/2016,1130,21021.95,0,0,830,785,817.5,1,0,0,0,0,0,0,1167.5,1057.5,1267.5,3045,557.5,705,957.5,24149.8,22013.68,23634.1,24576.3,13713.65,13169.4,19324.98,0,0,0,0,0,0,0,1118.33,1155.63,1533.5,1370.83,1235.94,20160.64,22395.14,22704.88,23079.17,21518.25,20200.48,20160.64,0,0,0,0,0,0
5/31/2016,780,13410.25,0,0,550,830,785,0,1,0,0,0,0,0,1130,1167.5,1057.5,1267.5,3045,557.5,705,21021.95,24149.8,22013.68,23634.1,24576.3,13713.65,13169.4,0,0,0,0,0,0,0,1025.83,1033.75,1080.5,1407.92,1213.75,19464.74,19527.33,20148.92,20845.96,21467.68,19461.14,19464.74,0,0,0,0,0,0
6/1/2016,652.5,13839.1,0,0,417.5,550,830,0,0,1,0,0,0,0,780,1130,1167.5,1057.5,1267.5,3045,557.5,13410.25,21021.95,24149.8,22013.68,23634.1,24576.3,13713.65,0,0,0,0,0,0,0,854.17,932.5,957.5,1009.17,1207.19,18885.32,16090.43,18105.28,18886.96,19678.15,19544.85,18885.32,0,0,0,0,0,0
6/2/2016,1475,24644.05,0,0,830,417.5,550,0,0,0,1,0,0,0,652.5,780,1130,1167.5,1057.5,1267.5,3045,13839.1,13410.25,21021.95,24149.8,22013.68,23634.1,24576.3,0,0,0,0,0,0,0,969.17,1009.38,1041,1043.75,1321.88,19417.23,17297.8,18228.84,19413.03,19846.47,20911.15,19417.23,0,0,0,0,0,0
6/3/2016,1015,25697.2,0,0,795,830,417.5,0,0,0,0,1,0,0,1475,652.5,780,1130,1167.5,1057.5,1267.5,24644.05,13839.1,13410.25,21021.95,24149.8,22013.68,23634.1,0,0,0,0,0,0,0,1047.5,980.63,1010.5,1036.67,1068.13,20670.01,21393.45,19397.65,19722.51,20460.39,21051.27,20670.01,0,0,0,0,0,0
6/4/2016,1155,25624,0,0,777.5,795,830,0,0,0,0,0,1,0,1015,1475,652.5,780,1130,1167.5,1057.5,25697.2,24644.05,13839.1,13410.25,21021.95,24149.8,22013.68,0,0,0,0,0,0,0,1215,1074.38,1015.5,1034.58,1054.06,21861.04,25321.75,22451.09,20642.92,20706.09,21300,21861.04,0,0,0,0,0,0
6/5/2016,1095,26455.93,0,0,707.5,777.5,795,0,0,0,0,0,0,1,1155,1015,1475,652.5,780,1130,1167.5,25624,25697.2,24644.05,13839.1,13410.25,21021.95,24149.8,0,0,0,0,0,0,0,1088.33,1185,1078.5,1028.75,1058.75,22049.01,25925.71,25605.3,23252.06,21611.76,21855.29,22049.01,0,0,0,0,0,0
6/6/2016,882.5,17936.3,0,0,742.5,707.5,777.5,1,0,0,0,0,0,0,1095,1155,1015,1475,652.5,780,1130,26455.93,25624,25697.2,24644.05,13839.1,13410.25,21021.95,0,0,0,0,0,0,0,1044.17,1036.88,1124.5,1045.83,1023.13,21479.23,23338.74,23928.36,24071.5,22366.1,21078.6,21479.23,0,0,0,0,0,0
